Date,Open,Close,High,Low
2021-11-22,3201.492,3201.492,3201.492,3201.492
2021-11-19,3219.904,3219.904,3219.904,3219.904
2021-11-18,3226.372,3226.372,3226.372,3226.372
2021-11-17,3221.033,3221.033,3221.033,3221.033
2021-11-16,3231.948,3231.948,3231.948,3231.948
2021-11-15,3226.446,3226.446,3226.446,3226.446
2021-11-12,3223.815,3223.815,3223.815,3223.815
2021-11-11,3201.994,3201.994,3201.994,3201.994
2021-11-10,3201.57,3201.57,3201.57,3201.57
2021-11-09,3227.797,3227.797,3227.797,3227.797
2021-11-08,3237.633,3237.633,3237.633,3237.633
2021-11-05,3232.255,3232.255,3232.255,3232.255
2021-11-04,3224.633,3224.633,3224.633,3224.633
2021-11-03,3212.353,3212.353,3212.353,3212.353
2021-11-02,3195.669,3195.669,3195.669,3195.669
2021-11-01,3190.536,3190.536,3190.536,3190.536
2021-10-29,3174.725,3174.725,3174.725,3174.725
2021-10-28,3179.444,3179.444,3179.444,3179.444
2021-10-27,3152.051,3152.051,3152.051,3152.051
2021-10-26,3167.438,3167.438,3167.438,3167.438
2021-10-25,3159.884,3159.884,3159.884,3159.884
2021-10-22,3151.158,3151.158,3151.158,3151.158
2021-10-21,3152.327,3152.327,3152.327,3152.327
2021-10-20,3147.699,3147.699,3147.699,3147.699
2021-10-19,3136.194,3136.194,3136.194,3136.194
2021-10-18,3114.011,3114.011,3114.011,3114.011
2021-10-15,3109.466,3109.466,3109.466,3109.466
2021-10-14,3084.589,3084.589,3084.589,3084.589
2021-10-13,3039.013,3039.013,3039.013,3039.013
2021-10-12,3024.722,3024.722,3024.722,3024.722
2021-10-11,3031.571,3031.571,3031.571,3031.571
2021-10-08,3043.744,3043.744,3043.744,3043.744
2021-10-07,3046.57,3046.57,3046.57,3046.57
2021-10-06,3015.95,3015.95,3015.95,3015.95
2021-10-05,3016.192,3016.192,3016.192,3016.192
2021-10-04,2992.886,2992.886,2992.886,2992.886
2021-10-01,3022.829,3022.829,3022.829,3022.829
2021-09-30,3006.604,3006.604,3006.604,3006.604
2021-09-29,3028.749,3028.749,3028.749,3028.749
2021-09-28,3032.703,3032.703,3032.703,3032.703
2021-09-27,3095.559,3095.559,3095.559,3095.559
2021-09-24,3103.53,3103.53,3103.53,3103.53
2021-09-23,3106.421,3106.421,3106.421,3106.421
2021-09-22,3074.355,3074.355,3074.355,3074.355
2021-09-21,3049.675,3049.675,3049.675,3049.675
2021-09-20,3046.203,3046.203,3046.203,3046.203
2021-09-17,3096.615,3096.615,3096.615,3096.615
2021-09-16,3122.573,3122.573,3122.573,3122.573
2021-09-15,3127.714,3127.714,3127.714,3127.714
2021-09-14,3116.078,3116.078,3116.078,3116.078
2021-09-13,3126.102,3126.102,3126.102,3126.102
2021-09-10,3122.067,3122.067,3122.067,3122.067
2021-09-09,3136.039,3136.039,3136.039,3136.039
2021-09-08,3146.958,3146.958,3146.958,3146.958
2021-09-07,3158.937,3158.937,3158.937,3158.937
2021-09-06,3169.644,3169.644,3169.644,3169.644
2021-09-03,3163.987,3163.987,3163.987,3163.987
2021-09-02,3161.46,3161.46,3161.46,3161.46
2021-09-01,3151.665,3151.665,3151.665,3151.665
2021-08-31,3141.351,3141.351,3141.351,3141.351
2021-08-30,3146.629,3146.629,3146.629,3146.629
2021-08-27,3133.669,3133.669,3133.669,3133.669
2021-08-26,3110.271,3110.271,3110.271,3110.271
2021-08-25,3125.829,3125.829,3125.829,3125.829
2021-08-24,3121.997,3121.997,3121.997,3121.997
2021-08-23,3112.57,3112.57,3112.57,3112.57
2021-08-20,3080.02,3080.02,3080.02,3080.02
2021-08-19,3063.224,3063.224,3063.224,3063.224
2021-08-18,3078.014,3078.014,3078.014,3078.014
2021-08-17,3100.118,3100.118,3100.118,3100.118
2021-08-16,3121.986,3121.986,3121.986,3121.986
2021-08-13,3125.117,3125.117,3125.117,3125.117
2021-08-12,3115.736,3115.736,3115.736,3115.736
2021-08-11,3109.967,3109.967,3109.967,3109.967
2021-08-10,3099.494,3099.494,3099.494,3099.494
2021-08-09,3097.061,3097.061,3097.061,3097.061
2021-08-06,3098.063,3098.063,3098.063,3098.063
2021-08-05,3102.227,3102.227,3102.227,3102.227
2021-08-04,3085.831,3085.831,3085.831,3085.831
2021-08-03,3092.512,3092.512,3092.512,3092.512
2021-08-02,3077.11,3077.11,3077.11,3077.11
2021-07-30,3069.249,3069.249,3069.249,3069.249
2021-07-29,3089.818,3089.818,3089.818,3089.818
2021-07-28,3069.492,3069.492,3069.492,3069.492
2021-07-27,3068.867,3068.867,3068.867,3068.867
2021-07-26,3080.405,3080.405,3080.405,3080.405
2021-07-23,3072.378,3072.378,3072.378,3072.378
2021-07-22,3046.598,3046.598,3046.598,3046.598
2021-07-21,3036.719,3036.719,3036.719,3036.719
2021-07-20,3005.863,3005.863,3005.863,3005.863
2021-07-19,2975.553,2975.553,2975.553,2975.553
2021-07-16,3024.655,3024.655,3024.655,3024.655
2021-07-15,3043.522,3043.522,3043.522,3043.522
2021-07-14,3058.589,3058.589,3058.589,3058.589
2021-07-13,3059.275,3059.275,3059.275,3059.275
2021-07-12,3068.265,3068.265,3068.265,3068.265
2021-07-09,3053.122,3053.122,3053.122,3053.122
2021-07-08,3022.241,3022.241,3022.241,3022.241
2021-07-07,3049.661,3049.661,3049.661,3049.661
2021-07-06,3042.632,3042.632,3042.632,3042.632
2021-07-05,3049.838,3049.838,3049.838,3049.838
2021-07-02,3046.094,3046.094,3046.094,3046.094
2021-07-01,3028.201,3028.201,3028.201,3028.201
2021-06-30,3017.228,3017.228,3017.228,3017.228
2021-06-29,3024.437,3024.437,3024.437,3024.437
2021-06-28,3025.215,3025.215,3025.215,3025.215
2021-06-25,3024.937,3024.937,3024.937,3024.937
2021-06-24,3013.36,3013.36,3013.36,3013.36
2021-06-23,2998.003,2998.003,2998.003,2998.003
2021-06-22,3001.136,3001.136,3001.136,3001.136
2021-06-21,2982.107,2982.107,2982.107,2982.107
2021-06-18,2954.187,2954.187,2954.187,2954.187
2021-06-17,2996.511,2996.511,2996.511,2996.511
2021-06-16,3008.478,3008.478,3008.478,3008.478
2021-06-15,3017.268,3017.268,3017.268,3017.268
2021-06-14,3019.881,3019.881,3019.881,3019.881
2021-06-11,3012.672,3012.672,3012.672,3012.672
2021-06-10,3007.462,3007.462,3007.462,3007.462
2021-06-09,2996.64,2996.64,2996.64,2996.64
2021-06-08,3001.834,3001.834,3001.834,3001.834
2021-06-07,3000.972,3000.972,3000.972,3000.972
2021-06-04,2997.357,2997.357,2997.357,2997.357
2021-06-03,2972.869,2972.869,2972.869,2972.869
2021-06-02,2985.973,2985.973,2985.973,2985.973
2021-06-01,2982.025,2982.025,2982.025,2982.025
2021-05-31,2975.701,2975.701,2975.701,2975.701
2021-05-28,2979.297,2979.297,2979.297,2979.297
2021-05-27,2970.643,2970.643,2970.643,2970.643
2021-05-26,2969.51,2969.51,2969.51,2969.51
2021-05-25,2965.51,2965.51,2965.51,2965.51
2021-05-24,2966.435,2966.435,2966.435,2966.435
2021-05-21,2943.129,2943.129,2943.129,2943.129
2021-05-20,2942.214,2942.214,2942.214,2942.214
2021-05-19,2910.94,2910.94,2910.94,2910.94
2021-05-18,2928.682,2928.682,2928.682,2928.682
2021-05-17,2934.179,2934.179,2934.179,2934.179
2021-05-14,2938.625,2938.625,2938.625,2938.625
2021-05-13,2892.481,2892.481,2892.481,2892.481
2021-05-12,2876.791,2876.791,2876.791,2876.791
2021-05-11,2928.332,2928.332,2928.332,2928.332
2021-05-10,2961.574,2961.574,2961.574,2961.574
2021-05-07,2979.407,2979.407,2979.407,2979.407
2021-05-06,2952.025,2952.025,2952.025,2952.025
2021-05-05,2932.845,2932.845,2932.845,2932.845
2021-05-04,2922.497,2922.497,2922.497,2922.497
2021-05-03,2948.674,2948.674,2948.674,2948.674
2021-04-30,2938.764,2938.764,2938.764,2938.764
2021-04-29,2963.312,2963.312,2963.312,2963.312
2021-04-28,2951.881,2951.881,2951.881,2951.881
2021-04-27,2952.006,2952.006,2952.006,2952.006
2021-04-26,2956.133,2956.133,2956.133,2956.133
2021-04-23,2946.113,2946.113,2946.113,2946.113
2021-04-22,2923.912,2923.912,2923.912,2923.912
2021-04-21,2932.976,2932.976,2932.976,2932.976
2021-04-20,2915.78,2915.78,2915.78,2915.78
2021-04-19,2944.051,2944.051,2944.051,2944.051
2021-04-16,2953.347,2953.347,2953.347,2953.347
2021-04-15,2941.747,2941.747,2941.747,2941.747
2021-04-14,2913.533,2913.533,2913.533,2913.533
2021-04-13,2918.192,2918.192,2918.192,2918.192
2021-04-12,2907.253,2907.253,2907.253,2907.253
2021-04-09,2910.095,2910.095,2910.095,2910.095
2021-04-08,2895.613,2895.613,2895.613,2895.613
2021-04-07,2881.148,2881.148,2881.148,2881.148
2021-04-06,2876.228,2876.228,2876.228,2876.228
2021-04-05,2872.966,2872.966,2872.966,2872.966
2021-04-02,2841.888,2841.888,2841.888,2841.888
2021-04-01,2840.187,2840.187,2840.187,2840.187
2021-03-31,2811.699,2811.699,2811.699,2811.699
2021-03-30,2805.104,2805.104,2805.104,2805.104
2021-03-29,2811.533,2811.533,2811.533,2811.533
2021-03-26,2814.857,2814.857,2814.857,2814.857
2021-03-25,2775.055,2775.055,2775.055,2775.055
2021-03-24,2767.258,2767.258,2767.258,2767.258
2021-03-23,2788.01,2788.01,2788.01,2788.01
2021-03-22,2809.65,2809.65,2809.65,2809.65
2021-03-19,2796.14,2796.14,2796.14,2796.14
2021-03-18,2802.271,2802.271,2802.271,2802.271
